X,Y,OBJECTID,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PHONE_NUM,GLOBALID,WEBSITE
-82.914627440651529,40.049104586336732,5712800,4014 TOWNSFAIR WAY,The Melting Pot,Retail - Restaurant,,,{5AA5E720-C2B6-4F43-8ABA-27E8DEF8E7E8},
-83.114473277250397,40.029676726485683,5712802,3708 FISHINGER BLVD,Get Air Columbus,Retail - Services,,,{3BA52C45-9862-48F3-ADD1-CF9DA1DE34D8},
-82.816334549179771,40.097939384833509,5712803,6479 CENTRAL COLLEGE RD,Taco Bell,Retail - Restaurant,,,{EF13C479-EF0C-4A6B-B504-E3EF5BD4A369},
-82.911015314011465,40.031531346046719,5712804,2845 STELZER RD,Tim Hortons,Retail - Restaurant,,,{D94BEAE6-2565-46AE-8797-1CD83BFFC568},
-83.125912068382391,39.924164683109169,5712806,1395 AUTO MALL PKWY,Hatfield Subaru,Retail - Commercial/Retail,,,{C984ABAA-048F-4CAD-8E9B-B4400B662F89},
-83.116346022774735,40.02811244790977,5712808,3642 FISHINGER BLVD,Starbucks,Retail - Restaurant,,,{8F5BB91D-02FB-481B-B2F6-124F0A24F56E},
-82.940091450837897,39.945796205446818,5712815,1131 COLLEGE AVE,Schreiner Ace Hardware,Retail - Commercial/Retail,,,{81F36F79-8B27-49F9-A8C2-1AD0F1595015},
-82.962774563660091,40.033975094835242,5712816,3246 CLEVELAND AVE,Banadir Cuisine Restaurant,Retail - Restaurant,,6142680933,{BB998203-E7F5-4144-847B-CA03F7AB25CA},
-83.004275698318295,39.981725974046029,5712818,946 N HIGH ST,The W Nail Bar ,Retail - Services,,,{923D646E-DFEB-4A64-B65B-17EC51285104},
-83.043541009912133,39.988599657419343,5712819,1391 W 5TH AVE,The UPS Store,Retail - Commercial/Retail,,,{FBF7EFF0-4A8E-422F-9F68-11AA693CA739},
-83.00031970777745,40.136373890768418,5712825,342 LAZELLE RD,Extended Stay Hotel,Retail - Hotel/Motel,,,{BE17AEA8-47C9-447D-85C8-A2CE4056E5D9},
-82.999887317076258,40.136672420081723,5712826,635 FLARESTAR AVE,Extended Stay Hotel,Retail - Hotel/Motel,,,{3C64B799-ED84-4EB3-ADCD-01A72CAB725D},
-82.998348467656072,39.96351487880105,5712827,45 N 3RD ST,Mitchell's Steakhouse,Retail - Restaurant,,,{11049C08-AD35-4F64-BF6D-A65ECFE7B6F2},
-83.001614138747129,40.137300806551444,5712828,570 LUMINATION AVE,Extended Stay,Retail - Hotel/Motel,CBLD1519904,,{8C108B96-5FC7-4E1D-AB98-E905093D8F56},
-82.99982125273425,40.137224031837675,5712829,640 LUMINATION AVE,Extended Stay Hotel,Retail - Hotel/Motel,,,{BFAD6382-F3DB-4829-A2FB-707A448925C1},
